Mes,Dia,cuentas,personas,articulos,total
Octubre,Lunes,103,192,451,24095.6
Octubre,Martes,147,265,683,36670
Octubre,Miercoles,111,225,515,29349.16
Octubre,Jueves,134,249,617,33648.58
Octubre,Viernes,205,380,1037,58423.76
Octubre,Sabado,240,867,1124,63844
Octubre,Domingo,192,354,861,49604.08
Octubre,Lunes,85,161,412,21259.92
Octubre,Martes,80,148,394,21593
Octubre,Miercoles,100,175,465,25896.78
Octubre,Jueves,108,216,522,27936.4
Octubre,Viernes,176,325,764,44045.22
Octubre,Sabado,199,370,833,48142.76
Octubre,Domingo,148,361,618,36519.4
Octubre,Lunes,98,182,411,22019
Octubre,Martes,110,268,548,29540
Octubre,Miercoles,148,300,799,41855.51
Octubre,Jueves,136,254,677,36557.32
Noviembre,Viernes,187,334,892,48454.48
Noviembre,Sabado,209,470,1053,58649.8
Noviembre,Domingo,168,286,753,42026
Noviembre,Lunes,72,136,374,21085.06
Noviembre,Martes,100,193,573,29392.77
Noviembre,Miercoles,93,166,430,22867.58
Noviembre,Jueves,132,241,618,33331.88
Noviembre,Viernes,173,311,884,48239.08
Noviembre,Sabado,212,394,930,49753.52
Noviembre,Domingo,146,267,646,36137.9
Noviembre,Lunes,104,197,474,26215.61
Noviembre,Martes,91,152,392,20448
Noviembre,Miercoles,137,285,811,41234.62
Noviembre,Jueves,131,254,670,36626.6
Noviembre,Viernes,198,373,1077,58998.43
Noviembre,Sabado,211,382,970,56019.2
Noviembre,Domingo,160,345,762,43182.08
Noviembre,Lunes,161,292,688,37386.68
Noviembre,Martes,92,162,470,25204.52
Noviembre,Miercoles,99,232,520,28721.4
Noviembre,Jueves,123,236,626,33504
Noviembre,Viernes,163,311,797,44311.92
Noviembre,Sabado,196,359,925,54796.64
Noviembre,Domingo,159,279,718,38722.59
Noviembre,Lunes,98,170,441,23265.92
Noviembre,Martes,86,142,353,19461
Noviembre,Miercoles,98,205,509,28954.64
Noviembre,Jueves,129,249,641,35900
Noviembre,Viernes,221,403,1104,61446.68
Noviembre,Sabado,230,423,1113,60879.33
Diciembre,Domingo,173,318,818,46704.27
Diciembre,Martes,98,198,457,24749
Diciembre,Miercoles,100,205,554,31591
Diciembre,Jueves,145,260,746,39196.68
Diciembre,Viernes,188,346,1231,63311.04
Diciembre,Sabado,218,392,950,57342.63
Diciembre,Domingo,211,338,914,54032.76
Diciembre,Lunes,107,188,460,24565.79
Diciembre,Martes,136,268,675,37370.98
Diciembre,Miercoles,122,225,596,33973.6
Diciembre,Jueves,187,340,903,49482.24
Diciembre,Viernes,205,374,1102,60061.48
Diciembre,Sabado,245,398,1085,64683.48
Diciembre,Domingo,183,344,919,52594
Diciembre,Lunes,138,281,643,37015.8
Diciembre,Martes,145,325,897,48203.24
Diciembre,Miercoles,164,288,894,49075.28
Diciembre,Jueves,150,298,907,51278.44
Diciembre,Viernes,193,348,1025,58999
Diciembre,Sabado,200,362,953,53501.76
Diciembre,Domingo,182,343,848,48558.68
Diciembre,Lunes,149,253,725,39552.12
Diciembre,Jueves,162,309,919,50128.48
Diciembre,Viernes,189,362,1018,59142.63
Diciembre,Sabado,224,486,1170,65550.03
Diciembre,Domingo,186,385,881,50708.52
Diciembre,Lunes,151,261,929,47831.43
Enero,Jueves,160,278,771,42265.36
Enero,Viernes,186,342,946,54281.2
Enero,Sabado,202,377,1121,61343.76
Enero,Domingo,182,311,764,46492.23
Enero,Lunes,88,144,379,22213.33
Enero,Martes,103,174,489,27285
Enero,Miercoles,106,177,424,24429.92
Enero,Jueves,112,205,496,27601.01
Enero,Viernes,202,388,1139,62122.99
Enero,Sabado,214,363,1078,62589
Enero,Domingo,174,318,821,47874.01
Enero,Lunes,97,159,397,22016
Enero,Martes,130,222,667,35438.02
Enero,Miercoles,127,261,685,37145
Enero,Jueves,133,246,677,36814.94
Enero,Viernes,216,371,1127,61821.99
Enero,Sabado,231,380,1140,64563.51
Enero,Domingo,200,364,967,55831.22
Enero,Lunes,93,168,413,22835.8
Enero,Martes,115,164,617,33889
Enero,Miercoles,127,226,655,35994.5
Enero,Jueves,133,214,650,36866.6
Enero,Viernes,178,305,970,53144.8
Enero,Sabado,216,418,1124,60602.59
Enero,Domingo,178,324,841,47197.42
Enero,Lunes,83,135,355,19747.02
Enero,Martes,134,205,745,39347.6
Enero,Miercoles,139,237,755,39952.5
Enero,Jueves,122,220,648,35152
Enero,Viernes,210,392,1066,60868
Febrero,Sabado,198,343,1116,60564.99
Febrero,Domingo,182,297,852,49350.99
Febrero,Lunes,107,184,461,25858.8
Febrero,Martes,72,133,329,17725
Febrero,Miercoles,76,122,335,18526.99
Febrero,Jueves,137,214,682,35563.71
Febrero,Viernes,161,279,872,46667.21
Febrero,Sabado,211,370,1225,68162.5
Febrero,Domingo,135,233,584,33461.42
Febrero,Lunes,85,146,370,20572.2
Febrero,Martes,89,149,410,21979.01
Febrero,Miercoles,74,132,365,18979
Febrero,Jueves,119,191,600,34403.2
Febrero,Viernes,297,573,1630,94311.3
Febrero,Sabado,223,386,1080,59937.4
Febrero,Domingo,168,313,744,42701.16
Febrero,Lunes,79,115,332,17665
Febrero,Martes,84,139,380,20750.4
Febrero,Miercoles,97,190,498,27037.81
Febrero,Jueves,93,165,567,29385.3
Febrero,Viernes,182,340,956,51592
Febrero,Sabado,199,373,984,56053.01
Febrero,Domingo,159,302,711,38804.44
Febrero,Lunes,73,107,341,18674.2
Febrero,Martes,79,143,413,22573
Febrero,Miercoles,94,170,448,23907.2
Febrero,Jueves,112,199,599,31212
Febrero,Viernes,195,344,1020,57097.66
Marzo,Sabado,216,382,1021,56202.5
Marzo,Domingo,126,232,562,33200
Marzo,Lunes,91,164,450,25219
Marzo,Martes,73,136,336,18344
Marzo,Miercoles,108,222,536,30995.8
Marzo,Jueves,100,157,462,26562.7
Marzo,Viernes,143,271,682,37864.45
Marzo,Sabado,197,315,910,50659.31
Marzo,Domingo,135,249,573,31848.11
Marzo,Lunes,75,131,362,21143.5
Marzo,Martes,75,138,362,18832.49
Marzo,Miercoles,88,169,442,24955.61
Marzo,Jueves,104,152,384,21078.5
Marzo,Viernes,169,318,874,46651.41
Marzo,Sabado,200,381,896,48495.19
Marzo,Domingo,133,215,507,29932.69
Marzo,Lunes,118,189,462,25793.61
Marzo,Martes,74,125,358,20689.46
Marzo,Miercoles,83,150,362,20093.8
Marzo,Jueves,117,220,507,26506.81
Marzo,Viernes,150,274,724,40338.4
Marzo,Sabado,203,358,935,54388.58
Marzo,Domingo,147,234,589,35120.26
Marzo,Lunes,77,128,312,17287.41
Marzo,Martes,70,132,334,17710
Marzo,Miercoles,66,101,255,13245.69
Marzo,Jueves,98,179,443,23883
Marzo,Viernes,159,269,753,42547.2
Marzo,Sabado,180,293,779,46153.48
Marzo,Domingo,129,179,449,25582.99
Marzo,Lunes,84,139,387,22223.21
Abril,Martes,86,123,447,21896.9
Abril,Miercoles,114,188,588,32831.25
Abril,Jueves,115,228,530,29540.25
Abril,Viernes,166,280,891,46365.95
Abril,Sabado,200,325,844,47940.95
Abril,Domingo,143,193,543,32787.81
Abril,Lunes,98,147,437,24622.2
Abril,Martes,84,113,403,22298
